London,England,0.09515625,0.18425,0.01,0.22125,-9
Paris,France,0.10275,0.20225,0.24575,0.13625,-8
Venice,Italy,0.13071875,0.22075,0.2671875,0.28375,-8
Moscow,Russia,0.2046875,0.158,0.3046875,0.1685,-6
Dubai,UAE,0.2489125,0.3408,0.358125,0.3275,-5
Cairo,Egypt,0.182025,0.3086,0.116125,0.2475,-7
Tokyo,Japan,0.4826875,0.2775,0.5896875,0.3725,0
Bangkok,Thailand,0.3756,0.4045,0.3075,0.5175,-2
Shanghai,China,0.432,0.2985,0.32640625,0.34875,-1
Sydney,Australia,0.5150625,0.6765,0.6540625,0.6325,1
Honolulu,USA,0.65171875,0.35475,0.796875,0.405,-19
Wellington,New Zealand,0.58084375,0.7233,0.76484375,0.6275,3
Los Angeles,USA,0.764625,0.289,0.70453125,0.3775,-17
Chicago,USA,0.8473125,0.23725,0.9853125,0.17625,-15
Anchorage,USA,0.673075,0.1308,0.48171875,0.31375,-18
Toronto,Canada,0.87146875,0.2285,0.70546875,0.2475,-14
Rio de Janeiro,Brazil,0.973,0.6125,1.075,0.5325,11
New York,USA,0.890125,0.24425,1.000125,0.31125,-14
Grand Canyon,USA,0.77703125,0.2775,0.666875,0.22,-16
Niagara Falls,Canada,0.87196875,0.23505,0.72890625,0.40875,-13
Salar de Uyuni,Bolivia,0.9085,0.5955,0.79,0.5525,-13
Mexico City,Mexico,0.81571875,0.3649,0.97171875,0.3925,-15
